epoch,acc,loss,val_acc,val_loss
0,0.9300405642488407,0.17555956923274524,0.7461739786265721,0.8794268992412737
1,0.9425114905579736,0.1529746813598895,0.7217318014540574,0.936004293842493
2,0.9453295547458582,0.15121468028147342,0.7233287495088858,0.8778825795891619
3,0.9468775054976829,0.15003416351636,0.7449762675854507,0.8521152039333694
4,0.9476633881863574,0.14906553046660784,0.7463957769675205,0.8023533857924245
5,0.9489970072952141,0.1482330209548838,0.7360156146111348,0.8577380428753437
6,0.9495368055059418,0.14748431904873532,0.7396531074026889,0.8204710854959643
7,0.950497328793151,0.14636381501404302,0.7609013884655464,0.8111766459900299
8,0.9510133123764616,0.14573536193604653,0.7424477664986388,0.8791771913499654
9,0.9525930159646846,0.14456856146952923,0.773366455224203,0.7745554614541947
10,0.9537758091019504,0.14367542802125557,0.7594375194152869,0.8369115758998759
11,0.9544505568653601,0.14224364972086032,0.76041343211546,0.8248908129854401
12,0.955212624928037,0.1413137386917503,0.7626757751931338,0.8510632674058857
13,0.9552523159743629,0.14041216822556768,0.74506498692183,0.8634964087661133
14,0.9552920070178499,0.13934075278445407,0.7460852592901926,0.8636085826769562
15,0.9558000523926524,0.1385169235159613,0.7648937586026179,0.8619797036355153
16,0.9558953108999547,0.13778941125419564,0.7487024797133839,0.8571402326901126
17,0.956165210006738,0.13700928896700823,0.7621434591722135,0.8419518530281551
18,0.9555222150797268,0.1367660322000675,0.7707935944692015,0.8387018673269665
19,0.9555222150787804,0.13619584764459275,0.7573969746785616,0.8540991933040778
20,0.9556174735860827,0.1360811920088674,0.7744754469289451,0.7770771026044181
21,0.9552364395549808,0.1352407315991147,0.7592600807425283,0.8724573635525655
22,0.9553475744811921,0.1351667011044999,0.7560218249646814,0.8168059491975831
23,0.9556889174673875,0.1344501461939613,0.7694184447579654,0.8285239783655607
24,0.9555142768688528,0.13404280558681775,0.7630306525386512,0.8322743023015092
25,0.9555142768697992,0.13433323192690877,0.7594375194152869,0.856075406826754
26,0.9554190183615505,0.13333281783757855,0.7656922326300322,0.8039512493832429
27,0.9558079906016337,0.1330046330482745,0.765292995616325,0.8356139664984593
28,0.9557206703033126,0.13268458359277333,0.7600141951017528,0.9009827742497595
29,0.9554666476149651,0.13287511051983864,0.7637847668978758,0.8666386653752672
30,0.9558079906011606,0.1319537681738869,0.7624096171839957,0.8553365730170597
31,0.955593658959139,0.13214541431282345,0.7599254757653735,0.8805324306601414
32,0.955601597167647,0.1317380512038595,0.7641840039115829,0.8172970177162954
33,0.9554507711974757,0.13109489450036596,0.774076209915238,0.8262061037988135
34,0.9556174735856097,0.13092476378044238,0.7640065652388242,0.8048646537428321
35,0.9552840688083954,0.1312465507880725,0.7739874905788586,0.7749197668786882
36,0.955069737166847,0.13052453384218915,0.7500332697590744,0.8855448736858068
37,0.955268192390906,0.1308762747054347,0.7630306525386512,0.8324659800818209
38,0.9555857207506308,0.13017156633290342,0.7689748480760685,0.7900944648937097
39,0.9553078834353393,0.1299377885449628,0.7692410060852066,0.8317351501410418
40,0.9553872655251522,0.12985840875914434,0.7642727232453183,0.7500732598215433
41,0.9551729338826574,0.13034409435025116,0.7646719602616694,0.8264334042112591
42,0.9551967485096012,0.13006073892459644,0.7602803531108909,0.8797458904540323
43,0.9553475744802458,0.12922802972028774,0.7615667834883917,0.824891225932622
44,0.9548792201508228,0.12945376913041884,0.7559774652964918,0.8098086723205503
